word,freq
জিয়াউর,172
হিসেবে,166
ঢাকা,148
ঘোষণা,143
জাতীয়,133
তাদের,133
সালের,127
শুরু,114
দিয়ে,114
সরকার,114
জিয়া,114
করার,113
বিভিন্ন,113
করেছেন,112
ছিলেন,110
প্রধান,109
সালে,108
শহীদ,105
হচ্ছে,102
করেছে,97
রহমানের,97
কোটি,95
মাধ্যমে,95
পর্যন্ত,93
রয়েছে,92
চট্টগ্রাম,92
কিছু,91
রাজনৈতিক,90
সরকারের,90
জরিমানা,88
কারণে,87
স্বাধীনতার,86
প্রথম,85
পানি,84
বৃহস্পতিবার,80
নতুন,80
নির্বাচন,79
মেজর,79
গেছে,78
দলের,77
জানান,75
মার্চ,74
বৃষ্টি,73
বিএনপির,71
তাকে,70
দেখা,70
আমার,70
দেওয়া,69
দাবি,69
সভাপতি,69
শেয়ার,68
হাজার,67
অনেক,67
বিএনপি,67
সাবেক,67
ইসলাম,66
কাছে,66
আন্তর্জাতিক,66
সদস্য,63
নেতা,61
স্বাধীনতা,61
উপদেষ্টা,60
প্রেসিডেন্ট,60
জিয়ার,59
হোসেন,59
যেতে,58
আহমেদ,58
করছে,57
দেশে,56
বিশেষ,56
জুলাই,56
সংস্কার,55
আওয়ামী,55
তৈরি,55
রাষ্ট্রপতি,55
সম্পাদক,55
সিদ্ধান্ত,55
বিভাগের,54
ক্রিকেট,54
বিরুদ্ধে,53
মানুষের,52
কারণ,52
কর্মসূচি,52
জনগণের,52
পালন,52
প্রতি,51
ধরনের,50
একজন,50
বিষয়ে,50
বেশি,49
করবে,49
কমিশন,49
উন্নয়ন,48
দিতে,48
আমাকে,48
তাঁর,48
দিকে,47
বলেছেন,47
সরকারি,47
করেছিলেন,46
দায়িত্ব,46
পরিচালক,46
সাধারণ,46
পুলিশ,45
নিয়ে,45
বিক্রি,44
হয়েছিল,44
সময়ে,44
অধ্যাপক,43
থাকে,43
সেখানে,43
এরপর,43
প্রতিষ্ঠা,43
শুধু,43
মোহাম্মদ,43
ফারুক,43
বন্ধ,42
মানুষ,42
সৃষ্টি,42
বাংলাদেশে,42
গুরুত্বপূর্ণ,42
গ্রহণ,42
নির্বাচনের,41
করবেন,41
অবস্থান,40
পরবর্তী,40
জানা,40
বাংলাদেশি,40
রাতে,40
স্বাধীন,40
কার্যক্রম,40
বুধবার,40
গভীর,39
ক্ষেত্রে,38
থেকেই,38
বাংলা,38
আলোচনা,38
দ্রুত,38
এলাকায়,37
নামে,37
উত্তর,37
আগামী,37
আবার,37
চট্টগ্রামের,37
থাকা,37
প্রতিষ্ঠান,37
ব্যবস্থা,37
হাতে,37
হয়নি,37
জিয়াউর,37
নম্বর,36
উপস্থিত,36
একটা,36
যাবে,36
চৌধুরী,36
নিজের,36
রাখা,36
সকাল,35
ছাড়া,35
ক্রীড়া,35
বক্তব্য,35
এদিকে,34
কমিটির,34
গণতন্ত্র,34
নিতে,34
পাশাপাশি,34
বাঙালি,34
ব্যক্তি,34
মুজিবুর,34
লক্ষ্যে,34
এলাকার,33
দিনের,33
দক্ষিণ,33
অনুযায়ী,33
নিশ্চিত,33
সম্ভব,33
উপজেলার,32
কর্মকর্তা,32
বর্তমানে,32
থাকবে,32
প্রকাশ,32
যেখানে,32
চেয়ারম্যান,32
বছরের,32
